"Name","Population","Held by","source","More information","sourceLink","update","Lat","Lon"
"Chulakivka ","3087","Russia","38","","https://suspilne.media/220316-u-hersoni-rosijski-vijskovi-rozignali-mirnij-miting-granatami-zi-slozoginnim-gazom/","29 March 2022 11h50 UTC",46.3601,32.3523
"Debaltseve","24316","Donetsk PR","","Battle of Debaltseve","","29 March 2022 11h50 UTC",48.3341,38.4062
"Derhachi","17433","Contested","25","","https://www.facebook.com/GeneralStaff.ua/posts/259676363012116","29 March 2022 11h50 UTC",50.1066,36.1211
"Dymer","5817","Russia","55","","https://rubryka.com/en/2022/03/18/misto-slavutych-perebuvaye-u-povnij-izolyatsiyi-brakuye-likiv-ta-produktiv-harchuvannya/","29 March 2022 11h50 UTC",50.7872,30.3117
"Dnipro","980948","Ukraine","","","","29 March 2022 11h50 UTC",48.45,34.9833
"Dolyna","20641","Ukraine","","","","29 March 2022 11h50 UTC",48.9703,24.0108
"Donetsk","905364","Donetsk PR","16","","https://web.archive.org/web/20220222235006/https://www.reuters.com/world/europe/hope-fear-uncertainty-donetsk-streets-after-putin-move-2022-02-22/","29 March 2022 11h50 UTC",48.0089,37.8042
"Drohobych","74610","Ukraine","","","","29 March 2022 11h50 UTC",49.35,23.5
"Dubno","37257","Ukraine","","","","29 March 2022 11h50 UTC",50.3931,25.735
"Enerhodar","52887","Russia","94","See Siege of Enerhodar","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-4","29 March 2022 11h50 UTC",47.4989,34.6558
"Fastiv","44841","Ukraine","56","","https://www.haaretz.com/world-news/europe/.premium.MAGAZINE-escape-from-kyiv-i-drove-the-long-and-hopeless-road-to-poland-1.10681130","29 March 2022 11h50 UTC",50.0747,29.9181
"Haisyn","25883","Ukraine","","","","29 March 2022 11h50 UTC",48.8094,29.3906
"Hlukhiv","32248","Russia","4","","https://theprint.in/opinion/ukraine-will-win-the-first-round-if-russian-offensive-doesnt-achieve-breakthrough-in-next-week/865723/","29 March 2022 11h50 UTC",51.6765,33.9078
"Hnivan","12314","Ukraine","","","","29 March 2022 11h50 UTC",49.0833,28.35
"Horlivka","241106","Donetsk PR","17","Horlivka offensive","https://graphics.reuters.com/UKRAINE-CRISIS/zdpxokdxzvx/","29 March 2022 11h50 UTC",48.3336,38.0925
"Hornostaivka","603","Russia","39","","https://suspilne.media/219325-rosijski-vijskovi-trimali-dobu-v-zarucnikah-starostu-sela-na-hersonsini-narazi-jogo-vidpustili/","29 March 2022 11h50 UTC",47.007,33.728
"Horodnia","11710","Russia","6","","https://web.archive.org/web/20220224214801/https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/","29 March 2022 11h50 UTC",51.8833,31.5833
"Hostomel","17534","Contested","14"," Awarded Hero City status","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-24","29 March 2022 11h50 UTC",50.5692,30.2653
"Irpin","62456","Ukraine","57","See Battle of Irpin","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-28","29 March 2022 11h50 UTC",50.5167,30.25
"Ivankiv","10563","Russia","58","See Battle of Ivankiv","https://www.bbc.com/news/live/world-europe-60582327","29 March 2022 11h50 UTC",50.9333,29.9
"Ivano-Frankivsk","237855","Ukraine","","","","29 March 2022 11h50 UTC",48.9228,24.7106
"Izium","45884","Contested","30","","https://edition.cnn.com/europe/live-news/ukraine-russia-putin-news-03-25-22/h_6f9cc91ac5481358f824f6db4d16e285","29 March 2022 11h50 UTC",49.2238,37.2915
"Izmail","70731","Ukraine","","","","29 March 2022 11h50 UTC",45.35,28.8333
"Kalynivka","18695","Ukraine","","","","29 March 2022 11h50 UTC",49.4472,28.5231
"Kalush","65814","Ukraine","","","","29 March 2022 11h50 UTC",49.0442,24.3597
"Kamianets-Podilskyi","97908","Ukraine","","","","29 March 2022 11h50 UTC",48.6806,26.5806
"Kamianka","11146","Ukraine","","","","29 March 2022 11h50 UTC",49.0333,32.1
"Kamianske","229794","Ukraine","","","","29 March 2022 11h50 UTC",48.5076,34.6132
"Kaniv","23503","Ukraine","","","","29 March 2022 11h50 UTC",49.7447,31.4558
"Kerch","149566","Russia","13","","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","29 March 2022 11h50 UTC",45.3573,36.4683
"Kharkiv","1433886","Ukraine","32","See Battle of Kharkiv (2022) Awarded Hero City status","https://web.archive.org/web/20220303021005/https://www.wsj.com/articles/russia-resumes-kharkiv-bombardment-in-bid-to-break-ukrainian-resistance-11646208607","29 March 2022 11h50 UTC",50,36.2292
"Kherson","283649","Russia","40","See Battle of Kherson Awarded Hero City status","https://web.archive.org/web/20220302022018/https://www.bbc.com/news/live/world-europe-60582327","29 March 2022 11h50 UTC",46.6333,32.6
"Khmelnytskyi","274582","Ukraine","","","","29 March 2022 11h50 UTC",49.42,27
"Khmilnyk","27158","Ukraine","","","","29 March 2022 11h50 UTC",49.55,27.9667
"Khrystynivka","10068","Ukraine","","","","29 March 2022 11h50 UTC",48.8333,29.9667
"Khust","28206","Ukraine","","","","29 March 2022 11h50 UTC",48.1814,23.2978
"Kyiv","2962180","Ukraine","49","See Kyiv offensive (2022) and Battle of Kyiv (2022)","https://web.archive.org/web/20220303230707/https://www.cnbc.com/2022/03/01/russia-still-has-sights-set-on-kyiv-despite-tough-ukraine-resistance.html","29 March 2022 11h50 UTC",50.45,30.5236
"Kivertsi","13917","Ukraine","","","","29 March 2022 11h50 UTC",50.8331,25.4614
"Klavdiievo-Tarasove","5019","Russia","59","","https://www.ukrinform.net/rubric-ato/3422872-bucha-vorzel-hostomel-under-enemys-control-situation-remains-critical.html","29 March 2022 11h50 UTC",50.5825,30.0053
"Kolomyia","61140","Ukraine","","","","29 March 2022 11h50 UTC",48.5167,25.0333
"Konotop","84787","Russia","85","See Battle of Konotop (2022)","https://web.archive.org/web/20220225122458/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/","29 March 2022 11h50 UTC",51.2369,33.2027
"Koriukivka","12409","Russia","3","","https://ukraine.segodnya.ua/ua/ukraine/voruyut-unitazy-grabyat-cerkvi-i-royutsya-v-obedkah-rossiyskie-okkupanty-massovo-zanimayutsya-maroderstvom-1607740.html","29 March 2022 11h50 UTC",51.7833,32.25
"Korsun-Shevchenkivskyi","17474","Ukraine","","","","29 March 2022 11h50 UTC",49.4261,31.2806
"Kostiantynivka","68792","Ukraine","","","","29 March 2022 11h50 UTC",48.5333,37.7167
"Kostopil","31060","Ukraine","","","","29 March 2022 11h50 UTC",50.8833,26.4431
"Kovel","67991","Ukraine","","","","29 March 2022 11h50 UTC",51.2167,24.7167
"Kozelets","7646","Russia","7","","https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-march-9","29 March 2022 11h50 UTC",50.9164,31.1147
"Koziatyn","22634","Ukraine","","","","29 March 2022 11h50 UTC",49.7167,28.8333
"Kramatorsk","150084","Ukraine","","","","29 March 2022 11h50 UTC",48.7208,37.5556
"Krasiatychi","645","Unknown","","","","29 March 2022 11h50 UTC",51.076389,29.6375
"Krasnyi Luch","79764","Luhansk PR","68","","https://web.archive.org/web/20210628014205/https://en.interfax.com.ua/news/general/342825.html","29 March 2022 11h50 UTC",48.1406,38.9367
"Krasnohrad","20013","Ukraine","","","","29 March 2022 11h50 UTC",49.373,35.4614
"Kremenchuk","217710","Ukraine","","","","29 March 2022 11h50 UTC",49.0775,33.4239
"Kreminna","18417","Contested","69","","https://interfax.com.ua/news/general/817620.html","29 March 2022 11h50 UTC",49.0422,38.2177
"Kryvyi Rih","612750","Ukraine","","","","29 March 2022 11h50 UTC",47.9086,33.3433
"Krolevets","22437","Ukraine","2","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-4","29 March 2022 11h50 UTC",51.5489,33.386
"Kropyvnytskyi","222695","Ukraine","","","","29 March 2022 11h50 UTC",48.5103,32.2667
"Kupiansk","27169","Russia","33","","https://web.archive.org/web/20220228032920/https://www.pravda.com.ua/eng/news/2022/02/27/7326623/","29 March 2022 11h50 UTC",49.7064,37.6167
"Ladyzhyn","22593","Ukraine","","","","29 March 2022 11h50 UTC",48.6667,29.2167
"Lebedyn","24238","Ukraine","90","","https://web.archive.org/web/20220225122458/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/","29 March 2022 11h50 UTC",50.5831,34.4823
"Lysychansk","95031","Contested","71","","https://www.pravda.com.ua/eng/news/2022/03/11/7330543/","29 March 2022 11h50 UTC",48.9169,38.4306
"Liubotyn","20376","Ukraine","","","","29 March 2022 11h50 UTC",49.9489,35.9306
"Lozova","54026","Ukraine","","","","29 March 2022 11h50 UTC",48.8892,36.3161
"Lubny","44595","Ukraine","","","","29 March 2022 11h50 UTC",50.0186,32.9869
"Luhansk","399559","Luhansk PR","70","","https://web.archive.org/web/20220224063524/https://www.dw.com/en/donetsk-and-luhansk-in-ukraine-a-creeping-process-of-occupation/a-60878068","29 March 2022 11h50 UTC",48.5833,39.3333
"Luk’yanivka","","Ukraine","61","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-25","29 March 2022 11h50 UTC",50.4657,30.4759
"Lutsk","217197","Ukraine","","","","29 March 2022 11h50 UTC",50.7478,25.3244
"Lviv","717486","Ukraine","77","Many diplomatic missions have temporarily relocated to Lviv from Kyiv.","https://web.archive.org/web/20220225112418/https://www.cnn.com/europe/live-news/ukraine-russia-news-02-24-22-intl/h_21803c6f2041c343a9acda71e0db7455","29 March 2022 11h50 UTC",49.8419,24.0315
"Makariv","9589","Contested","62","","https://web.archive.org/web/20220326024127/https://www.bbc.com/news/live/world-europe-60856533","29 March 2022 11h50 UTC",50.4667,29.8167
"Makiivka","340337","Donetsk PR","17","","https://graphics.reuters.com/UKRAINE-CRISIS/zdpxokdxzvx/","29 March 2022 11h50 UTC",48.0556,37.9611
"Manhush","7858","Russia","18","","https://kabar24.bisnis.com/read/20220309/19/1508726/update-situasi-militer-perang-rusia-vs-ukraina-hari-ke-14-ini-kondisi-kota-kota-yang-digempur-rusia","29 March 2022 11h50 UTC",47.05,37.3
"Marhanets","45718","Ukraine","","","","29 March 2022 11h50 UTC",47.648,34.6167
"Marinka","10722","Contested","14","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-24","29 March 2022 11h50 UTC",47.9423,37.504
"Mariupol","431859","Contested","19","See Siege of Mariupol Awarded Hero City status","https://web.archive.org/web/20220225220827/https://www.cnn.com/europe/live-news/ukraine-russia-news-02-25-22/h_622a8b21dd1cf52845090a96c9c6513b","29 March 2022 11h50 UTC",47.1306,37.5639
"Markivka","5586","Russia","72","","https://web.archive.org/web/20220226155817/https://ua.interfax.com.ua/news/general/802510.html","29 March 2022 11h50 UTC",49.521,39.5621
"Melitopol","150768","Russia","95","See Battle of Melitopol","https://web.archive.org/web/20220224164052/https://www.marca.com/en/lifestyle/world-news/2022/02/24/6216fca2ca4741a0458b4599.html","29 March 2022 11h50 UTC",46.8333,35.3667
"Mena","11096","Unknown","","","","29 March 2022 11h50 UTC",51.5167,32.2167
"Merefa","21421","Ukraine","","","","29 March 2022 11h50 UTC",49.806,36.0503
"Mykhailo-Kotsiubynske","2851","Russia","8","","https://www.facebook.com/GeneralStaff.ua/posts/276000071379745","29 March 2022 11h50 UTC",51.4528,31.0731
"Mykolaiv","476101","Ukraine","79","See Battle of Mykolaiv","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","29 March 2022 11h50 UTC",46.9667,32
"Myrhorod","38447","Ukraine","","","","29 March 2022 11h50 UTC",49.964,33.6124
"Mohyliv-Podilskyi","30186","Ukraine","","","","29 March 2022 11h50 UTC",48.45,27.7833
"Mukachevo","85903","Ukraine","","","","29 March 2022 11h50 UTC",48.4493,22.7117
"Nadvirna","22545","Ukraine","","","","29 March 2022 11h50 UTC",48.6333,24.5833
"Nemishaieve","7841","Contested","50","","https://web.archive.org/web/20220303005644/https://www.unian.ua/war/u-gostomeli-nemishayevomu-buchi-ta-borodyanci-trivayut-boji-policiya-novini-kiyeva-11726557.html","29 March 2022 11h50 UTC",50.5624,30.0925
"Nikolske","7867","Russia","20","","https://kabar24.bisnis.com/read/20220310/19/1509180/update-situasi-militer-perang-rusia-vs-ukraina-hari-ke-15-serangan-rusia-masih-gencar","29 March 2022 11h50 UTC",47.2029,37.3197
"Nikopol","107464","Ukraine","","","","29 March 2022 11h50 UTC",47.5772,34.3575
"Nova Kakhovka","45069","Russia","42","See Kherson offensive","https://web.archive.org/web/20220227070903/https://www.tbsnews.net/world/nova-kakhovka-has-fallen-russia-ukraine-media-377014","29 March 2022 11h50 UTC",46.7667,33.3667
"Novhorod-Siverskyi","12647","Ukraine","9","","https://suspilne.media/216201-aka-gumanitarna-situacia-na-novgorod-siversini/","29 March 2022 11h50 UTC",51.9833,33.2667
"Novoazovsk","11104","Donetsk PR","","","","29 March 2022 11h50 UTC",47.119,38.067
"Novohrad-Volynskyi","55463","Ukraine","","","","29 March 2022 11h50 UTC",50.5833,27.6333
"Novomoskovsk","70230","Ukraine","","","","29 March 2022 11h50 UTC",48.6328,35.2239
"Novovolynsk","50417","Ukraine","","","","29 March 2022 11h50 UTC",50.7333,24.1667
"Novovorontsovka","6081","Contested","43","","https://www.ukrinform.net/rubric-ato/3441091-ukraines-armed-forces-trying-to-knock-russian-army-out-of-rubizhne-popasna.html","29 March 2022 11h50 UTC",47.4981,33.9169
"Obukhiv","33443","Ukraine","","","","29 March 2022 11h50 UTC",50.1,30.6167
"Ochakiv","13927","Ukraine","","","","29 March 2022 11h50 UTC",46.6186,31.5392
"Ocheretyne","3573","Contested","14","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-24","29 March 2022 11h50 UTC",48.2443,37.6116
"Ocheretyne","3573","Contested","14","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-24","29 March 2022 11h50 UTC",48.2443,37.6116
"Odessa","1015826","Ukraine","","","","29 March 2022 11h50 UTC",46.4825,30.7233
"Okhtyrka","47216","Ukraine","88","See Battle of Okhtyrka","https://www.theguardian.com/world/2022/mar/19/after-the-victory-ruined-city-of-okhtyrka-clings-to-hope-of-brighter-future","29 March 2022 11h50 UTC",50.3074,34.9016
"Oleksandriia","77303","Ukraine","","","","29 March 2022 11h50 UTC",48.6633,33.0968
"Oleshky","24383","Russia","44","See Kherson offensive","https://web.archive.org/web/20220224212816/https://en.interfax.com.ua/news/general/801461.html","29 March 2022 11h50 UTC",46.6199,32.7073
"Pavlohrad","103073","Ukraine","","","","29 March 2022 11h50 UTC",48.52,35.87
"Pechenihy","5058","Contested","25","","https://www.facebook.com/GeneralStaff.ua/posts/259676363012116","29 March 2022 11h50 UTC",49.8647,36.9364
"Pershotravensk","27573","Ukraine","","","","29 March 2022 11h50 UTC",48.3464,36.4044
"Pervomaiskyi","28986","Ukraine","","","","29 March 2022 11h50 UTC",49.3869,36.2142
"Piatykhatky","18457","Ukraine","","","","29 March 2022 11h50 UTC",48.4126,33.7034
"Pidhorodne","19336","Ukraine","","","","29 March 2022 11h50 UTC",48.5737,35.0966
"Pisky ","960","Ukraine","82","","https://news.err.ee/1608543799/err-in-mykolaiv-villagers-shared-intel-on-russian-forces","29 March 2022 11h50 UTC",48.0643,37.6741
"Pisky ","960","Ukraine","82","","https://news.err.ee/1608543799/err-in-mykolaiv-villagers-shared-intel-on-russian-forces","29 March 2022 11h50 UTC",48.0643,37.6741
"Pivdenne","7394","Ukraine","","","","29 March 2022 11h50 UTC",49.8849,36.0687
"Podilsk","39662","Ukraine","","","","29 March 2022 11h50 UTC",47.7419,29.535
"Pokrov","38111","Ukraine","","","","29 March 2022 11h50 UTC",47.6632,34.0811
"Poliske","20","Unknown","","","","29 March 2022 11h50 UTC",51.2409,29.387
"Polohy","18396","Russia","96","","https://bnn-news.com/ukraine-after-11th-night-of-war-mayor-killed-towns-taken-moscow-promises-civilian-corridors-to-russia-233013","29 March 2022 11h50 UTC",47.4796,36.2611
"Poltava","283402","Ukraine","","","","29 March 2022 11h50 UTC",49.5744,34.5686
"Popasna","19672","Contested","57","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-28","29 March 2022 11h50 UTC",48.6282,38.3727
"Posad-Pokrovske","2349","Ukraine","45","","https://edition.cnn.com/videos/world/2022/03/21/russia-mykolaiv-kherson-ukraine-nick-paton-walsh-pkg-vpx.cnn","29 March 2022 11h50 UTC",46.8064,32.2561
"Posad-Pokrovske","2349","Ukraine","45","","https://edition.cnn.com/videos/world/2022/03/21/russia-mykolaiv-kherson-ukraine-nick-paton-walsh-pkg-vpx.cnn","29 March 2022 11h50 UTC",46.8064,32.2561
"Rakhiv","15596","Ukraine","","","","29 March 2022 11h50 UTC",48.05,24.2167
"Ripky","6807","Unknown","","","","29 March 2022 11h50 UTC",51.799444,31.083333
"Rivne","245289","Ukraine","","","","29 March 2022 11h50 UTC",50.6197,26.2514
"Romny","38305","Contested","89","","https://web.archive.org/web/20220226051022/https://www.ukrinform.ru/rubric-ato/3412147-v-sumskoj-oblasti-kolonny-voennoj-tehniki-rf-posli-na-romny-i-dibrovu.html","29 March 2022 11h50 UTC",50.7428,33.4879
"Rozhyshche","12584","Ukraine","","","","29 March 2022 11h50 UTC",50.9131,25.27
"Rubizhne","56066","Contested","74","","https://www.pravda.com.ua/eng/news/2022/03/20/7332958/","29 March 2022 11h50 UTC",49.0167,38.3667
"Sambir","34444","Ukraine","","","","29 March 2022 11h50 UTC",49.5167,23.2
"Sartana","10117","Russia","21","","https://web.archive.org/web/20220301204329/https://greekcitytimes.com/2022/03/02/russian-forces-sartana-mariupol/","29 March 2022 11h50 UTC",47.1739,37.6915
"Savyntsi","5266","Russia","31","","https://www.objectiv.tv/objectively/2022/03/13/rashisty-ne-propuskayut-nikogo-na-balaklejshhine-net-produktov-i-svyazi-sotsseti/","29 March 2022 11h50 UTC",49.4105,37.0617
"Sedniv","1063","Russia","10","","https://suspilne.media/219335-mihajlo-zirohov-zastosuvanna-kasetnih-snaradiv-u-centri-cernigovi-ne-mae-logicnogo-poasnenna/","29 March 2022 11h50 UTC",51.6463,31.5617
"Semenivka","7952","Russia","6","","https://web.archive.org/web/20220224214801/https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/","29 March 2022 11h50 UTC",52.1772,32.5797
"Sevastopol","509992","Russia","13","See Annexation of Crimea by the Russian Federation","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","29 March 2022 11h50 UTC",44.6,33.5333
"Shestovytsia","688","Russia","8","","https://www.facebook.com/GeneralStaff.ua/posts/276000071379745","29 March 2022 11h50 UTC",51.3842,31.1935
"Shevchenkove","2913","Russia","63","","https://www.france24.com/en/live-news/20220309-russian-tanks-advance-towards-kyiv-from-east","29 March 2022 11h50 UTC",47.5437155,32.537078
"Shevchenkove","2913","Russia","63","","https://www.france24.com/en/live-news/20220309-russian-tanks-advance-towards-kyiv-from-east","29 March 2022 11h50 UTC",50.64577,31.04513
"Shevchenkove ","3150","Ukraine","79","","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","29 March 2022 11h50 UTC",47.5437155,32.537078
"Shevchenkove ","3150","Ukraine","79","","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","29 March 2022 11h50 UTC",50.64577,31.04513
"Shostka","73197","Russia","87","See Battle of Shostka","https://www.nu.nl/spanningen-oekraine/6189879/bericht-uit-een-bezet-shostka-angst-honger-en-verdriet.html","29 March 2022 11h50 UTC",51.8657,33.4766
"Shpola","16573","Ukraine","","","","29 March 2022 11h50 UTC",48.9969,31.4022
"Sievierodonetsk","101135","Contested","73","","https://www.newyorker.com/magazine/2022/03/21/what-the-russian-invasion-has-done-to-ukraine","29 March 2022 11h50 UTC",48.95,38.4833
"Simferopol","332317","Russia","13","","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","29 March 2022 11h50 UTC",44.9484,34.1
"Synelnykove","30021","Ukraine","","","","29 March 2022 11h50 UTC",48.3178,35.5119
"Skadovsk","17344","Russia","46","","https://www.pravda.com.ua/news/2022/03/13/7330874/","29 March 2022 11h50 UTC",46.1167,32.9167
"Slavutych","24685","Russia","64","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-27","29 March 2022 11h50 UTC",51.5206,30.7569
"Sloviansk","106972","Ukraine","","","","29 March 2022 11h50 UTC",48.87,37.625
"Smila","66475","Ukraine","","","","29 March 2022 11h50 UTC",49.2167,31.8667
"Snihurivka","12307","Russia","81","","https://suspilne.media/222080-bez-internetu-ta-svitla-na-mikolaivsini-so-vidbuvaetsa-v-snigurivci/","29 March 2022 11h50 UTC",47.0754,32.8062
"Snovsk","12315","Russia","11","","https://web.archive.org/web/20220325102449/https://auc.org.ua/novyna/amu-zaklykaye-vsih-doluchytysya-do-zvilnennya-zahoplenyh-u-polon-meriv-0","29 March 2022 11h50 UTC",51.8167,31.95
"Sosnytsia","6708","Contested","12","","https://web.archive.org/web/20220225080945/https://suspilne.media/210739-drugij-den-zbrojnogo-napadu-cernigivsina-tekstova-translacia/","29 March 2022 11h50 UTC",51.5222,32.5017
"Stakhanov","73702","Luhansk PR","","","","29 March 2022 11h50 UTC",48.5472,38.6361
"Stanytsia Luhanska","12505","Russia","72","","https://web.archive.org/web/20220226155817/https://ua.interfax.com.ua/news/general/802510.html","29 March 2022 11h50 UTC",48.6667,39.4667
"Starobilsk","16267","Luhansk PR","","See Battle of Starobilsk","","29 March 2022 11h50 UTC",49.2667,38.9167
